phase,milestone,technical_problem,technical_solution,artifact_refs,claim_support,patent_use,risk_note
P00,社區 / Odoo / AI 執行治理需求形成,AI 進入 ERP、組織帳號、通訊平台與邊緣節點後，候選意圖可能越權或誤觸工具。,將 AI 候選意圖與外部工具執行分離，建立操作前治理層。,Odoo/Google/LINE/Edge governance design; Wuchang community system context,"C01, C08, C10",作為技術問題與產業利用背景。,不可寫成單純商業規則或管理方法。
P01,五維碼 / 5D 度規基線建立,跨層 AI、runtime、event、memory、authorization 需要共同狀態參照。,"建立 [x, y, z, time, scale] 作為狀態封包可投影欄位前綴。",Five Metric policy; metric policy baseline; Five-Dimensional Code rule,C09,轉寫為多維狀態封包欄位，不主張抽象度規本身。,避免把五維碼本身寫成抽象數學專利。
P02,Five Metric Tensor Engine / policy locked,AI 或外部命令可能要求改變既有度規規則，造成 metric hazard。,建立 policy locked、threshold、allow / warn / block 分級與 hazard gate。,five_metric_engine 8105; policy_locked=true; L0/L1/L2/L3 actions,"C05, C07, C10",支撐策略閘道與決定性阻斷。,不可主張 metric tensor 一般概念。
P03,Guarded-run / preflight gate,工具執行若直接發生，AI 候選意圖可能越過治理層。,在命令執行前先經 preflight / guarded-run 判斷 allow/block。,taiji-metric-preflight; taiji-guarded-run; audit jsonl,"C05, C07",支撐『工具呼叫前必經策略閘道』。,需寫成具體執行前控制，不是一般權限控管。
P04,5D → 7D runtime-control extension,原始狀態欄位不足以同時描述雲端治理與本地執行基底。,保留 5D prefix，加入 heaven / earth runtime-control fields，形成 7D runtime state。,7d_green_checkpoint; runtime_7d_state; 7d_vs_5d_gap,C09,支撐多維狀態封包之欄位擴充與控制維度。,不可使用形上學語言；應寫成狀態欄位與控制欄位。
P05,8126 Formal Tensor Runtime,多維狀態封包需要可驗證 runtime 來處理與回報 health。,建立 formal tensor runtime，提供 7D / TEFMP-0.1 狀態服務。,8126 health; taiji-7d-formal-runtime.service; boot verify,"C09, C10",支撐封包 runtime 與狀態處理實施例。,不要主張 runtime 名稱本身。
P06,8127 Formation Runtime / packet test,候選封包需映射至受控工作區並阻斷不合法封包。,建立 formation runtime，safe_packet allow，cloud_raw_identity / prefix_mutation / raw_plaintext_canonical block。,7d_formation_mesh; 7d-formation-packet-test; 8127 health,"C05, C09, C10",支撐陣型工作區映射與封包合法性判斷。,陣型應被定義為工作區/工具/資料源/規則集合，不是品牌詞。
P07,Odoo / Google / LINE / Edge 跨系統治理,AI 候選意圖可能直接突變 Odoo、Google、LINE 或 Edge 節點。,Odoo/Google/LINE/Edge 僅能透過受控連接器與策略閘道進行操作。,Odoo 18 container; Google identity mapping; LINE grouping; Edge runtime,C08,支撐跨系統受控連接器實施例。,Odoo/Google/LINE 不應成為唯一限制。
P08,Evidence Chain Phase 1,開發歷程與 artifact 若無封存，難以防止 AI 幻覺、爭議或混淆。,建立本機/SD/雲端 evidence packages、master index 與 SHA256。,Wuchang_IP_Evidence zip; Wuchang_Cloud_Evidence zip; Master Index,C10,支撐稽核回放與證據鏈背景。,證據鏈可支撐可實施性，但不直接等於新穎性。
P09,Claim → Artifact → Evidence Package → Hash,請求項若無 artifact 對應，容易變成泛稱或 AI 生成文字。,建立 C01-C11 claim-artifact mapping v0.1/v0.2 clean。,claim_artifact_mapping_v0_2_clean.csv/md/summary,C01-C11,支撐代理人確認每一 claim 的 artifact 基礎。,候選 artifact 仍需代理人與工程師確認可引用性。
P10,Patent v0.3 → v0.5,需將工程架構轉為 TIPO 可讀專利文件。,建立 v0.3 主請求項、v0.4 四文件、v0.5 TIPO markdown draft。,patent_claims_v0_3; patent_v0_4_four_docs; patent_v0_5_tipo,"C05, C08, C09, C10",支撐初版專利文本形成。,v0.5 仍為草稿，不是正式送件終稿。
P11,Patent v0.6 Review Package,專利代理人需要 DOCX/PDF/圖式可審查格式。,產出 DOCX/PDF/SVG/PNG/ZIP review package 並鎖定 SHA256。,patent_v0_6_review_package.zip; v0.6 lock record,"All, especially C05/C08/C09/C10",作為代理人審查包。,不是最終官方送件包。
P12,Patent v0.7 Agent Review Pack,代理人或 AI 審查可能把 claim 寫回 generic RAG / agent / metric tensor。,建立 attorney instruction、redteam summary、non-claim list、evidence summary。,patent_v0_7_agent_review_pack.zip; redteam_review_summary; non_claim_items,"C05, C08, C09, C10",防止 claim drift。,僅為審查導讀，不取代正式 prior art search。
P13,Patent v0.8 Handoff + multi-node distribution,交付代理人前需形成總包、多節點封存與可驗證交接狀態。,建立 v0.8 handoff package；MSI source locked；taiji01 rsync verified；penguin Taildrop verified。,patent_v0_8_handoff_package.zip; multinode distribution lock record; attorney one-page summary,C10,支撐開發歷程保全與交接完整性。,多節點封存證明版本完整，不直接證明專利性。
